date,home,away,group,p_home,p_draw,p_away,exp_p_home,exp_p_draw,exp_p_away,lam_h,lam_a,top_scores
2026-06-15,Belgium,Egypt,Group G,0.5596069185591745,0.21949965729952023,0.22089342414130517,0.5473872645436826,0.24885047477182579,0.2037622606844916,1.6125158056930429,0.8758287531319109,1-0 (13%); 1-1 (12%); 2-0 (11%)
2026-06-15,Iran,New Zealand,Group G,0.564093162673042,0.21949965729952023,0.21640718002743778,0.5532178601532821,0.24711385490954205,0.19966828493717587,1.6276768993863542,0.8676707939014672,1-0 (13%); 1-1 (12%); 2-0 (11%)
2026-06-15,Spain,Cape Verde,Group H,0.7501971820532499,0.21949965729952023,0.030303160647229776,0.9139020926950581,0.06558661106499249,0.020511296239949392,3.4082809387308766,0.41436951146155293,3-0 (14%); 2-0 (13%); 4-0 (12%)
2026-06-15,Saudi Arabia,Uruguay,Group H,0.1281815263340387,0.21949965729952023,0.652318816366441,0.1175659353696809,0.19659240485049556,0.6858416597798234,0.6965627001865863,2.027509809421795,0-2 (13%); 0-1 (13%); 1-2 (9%)
2026-06-16,France,Senegal,Group I,0.5995793179518614,0.21949965729952023,0.1809210247486184,0.6019742104928635,0.23093063589981205,0.1670951536073243,1.7611841552794125,0.801896668938392,1-0 (14%); 2-0 (12%); 1-1 (11%)
2026-06-16,Iraq,Norway,Group I,0.17244087279587558,0.21949965729952023,0.6080594699046041,0.15924081548643415,0.22634077091294894,0.6144184136006169,0.7857254059660309,1.7974316431441615,0-1 (14%); 0-2 (12%); 1-1 (11%)
2026-06-16,Argentina,Algeria,Group J,0.6653515928933245,0.21949965729952023,0.11514874980715531,0.7094441454211552,0.1855370068132952,0.10501884776554957,2.1138404779200397,0.6681146104720677,2-0 (14%); 1-0 (13%); 3-0 (10%)
2026-06-16,Austria,Jordan,Group J,0.5193030815100289,0.21949965729952023,0.26119726119045084,0.497724945181235,0.26181753178192346,0.24045752303684165,1.4891864700008708,0.9483618982281047,1-0 (13%); 1-1 (12%); 2-0 (10%)
2026-06-17,Portugal,DR Congo,Group K,0.6434499388336895,0.21949965729952023,0.1370504038667903,0.6705298000493131,0.2034452806421711,0.1260249193085159,1.9745666552927172,0.7152393178118738,1-0 (13%); 2-0 (13%); 1-1 (10%)
2026-06-17,Uzbekistan,Colombia,Group K,0.15507889898276875,0.21949965729952023,0.625421443717711,0.14304342392052113,0.2159221116618679,0.641034464417611,0.7518395081493017,1.878443061581145,0-1 (14%); 0-2 (13%); 1-1 (10%)
2026-06-17,England,Croatia,Group L,0.522731732181458,0.21949965729952023,0.2577686105190217,0.5017782228689278,0.26088550133796196,0.23733627579311006,1.4988959692463486,0.9422186305669638,1-0 (13%); 1-1 (12%); 2-0 (10%)
2026-06-17,Ghana,Panama,Group L,0.16914672377888412,0.21949965729952023,0.6113536189215956,0.15618032703211576,0.2244730480835553,0.6193466248843289,0.7793817215345071,1.8120616233147155,0-1 (14%); 0-2 (12%); 1-1 (11%)
2026-06-18,Czech Republic,South Africa,Group A,0.5186486768264164,0.21949965729952023,0.2618516658740634,0.496954589741443,0.26199205010418464,0.24105336015437234,1.4873476605359832,0.9495343590325761,1-0 (13%); 1-1 (12%); 2-0 (10%)
2026-06-18,Mexico,South Korea,Group A,0.5762429894478726,0.21949965729952023,0.2042573532526072,0.5693603594986381,0.24208062612255288,0.188559014378809,1.6704964282898522,0.8454299474027889,1-0 (13%); 1-1 (11%); 2-0 (11%)
2026-06-18,Switzerland,Bosnia and Herzegovina,Group B,0.6405997345038064,0.21949965729952023,0.13990060819667335,0.6657270645618523,0.2055423008561468,0.12873063458200104,1.9584111020179447,0.7211395534116493,1-0 (13%); 2-0 (13%); 1-1 (10%)
2026-06-18,Canada,Qatar,Group B,0.7022949771243568,0.21949965729952023,0.07820536557612293,0.7853126633142642,0.1460675830903815,0.0686197535953543,2.443106033069621,0.5780705742563202,2-0 (15%); 1-0 (12%); 3-0 (12%)
2026-06-19,Scotland,Morocco,Group C,0.24214666184802144,0.21949965729952023,0.5383536808524583,0.22312054707321965,0.2562511374625645,0.5206283154642158,0.9141943112903944,1.544844121281151,0-1 (13%); 1-1 (12%); 0-2 (10%)
2026-06-19,Brazil,Haiti,Group C,0.702541077764298,0.21949965729952023,0.07795926493618174,0.7858723917213202,0.14575446414512735,0.06837314413355261,2.445916804929655,0.5774062734510114,2-0 (15%); 1-0 (12%); 3-0 (12%)
2026-06-19,United States,Australia,Group D,0.4151665529961787,0.21949965729952023,0.365333789704301,0.3854730262189384,0.2776348476303903,0.3368921261506712,1.2393499631043674,1.1395390725377428,1-1 (13%); 1-0 (11%); 0-1 (11%)
