date,home_team,away_team,winner,first_shooter
2026-06-29,Germany,Paraguay,Paraguay,Germany
2026-06-29,Netherlands,Morocco,Morocco,Netherlands
2026-07-03,Australia,Egypt,Egypt,Australia
