tournament,method,n,log_loss,rps,b0,b1,rho,draw_rate
WC2014,model,64,0.9110200734553788,0.1859715587531527,0.215879230406566,0.7586047365203397,-0.03096192872573815,0.21190965092402464
WC2014,poisson_iid,64,0.9102297497061115,0.18580414784877775,0.215879230406566,0.7586047365203397,-0.03096192872573815,0.21190965092402464
WC2014,raw_elo,64,0.9050923653791467,0.18576017779114118,0.215879230406566,0.7586047365203397,-0.03096192872573815,0.21190965092402464
WC2014,uniform,64,1.0986122886681098,0.24392361111111113,0.215879230406566,0.7586047365203397,-0.03096192872573815,0.21190965092402464
WC2018,model,64,0.9748209830098418,0.20683763231159663,0.2134549425110267,0.7583724019847392,-0.03437838671695555,0.21837441434100632
WC2018,poisson_iid,64,0.9730431243525167,0.20666159493649405,0.2134549425110267,0.7583724019847392,-0.03437838671695555,0.21837441434100632
WC2018,raw_elo,64,0.9675357833313658,0.20614591203573757,0.2134549425110267,0.7583724019847392,-0.03437838671695555,0.21837441434100632
WC2018,uniform,64,1.0986122886681098,0.24392361111111113,0.2134549425110267,0.7583724019847392,-0.03437838671695555,0.21837441434100632
WC2022,model,64,1.0751572025455314,0.22593672810517698,0.16471183569691106,0.7853951461999182,-0.01595066199237661,0.2172636523781562
WC2022,poisson_iid,64,1.074221566086994,0.2259401193973825,0.16471183569691106,0.7853951461999182,-0.01595066199237661,0.2172636523781562
WC2022,raw_elo,64,1.0766379604154122,0.22334198144058406,0.16471183569691106,0.7853951461999182,-0.01595066199237661,0.2172636523781562
WC2022,uniform,64,1.0986122886681098,0.23871527777777782,0.16471183569691106,0.7853951461999182,-0.01595066199237661,0.2172636523781562
POOLED,model,192,0.9869994196702508,0.20624863972330876,,,,
POOLED,poisson_iid,192,0.9858314800485407,0.20613528739421808,,,,
POOLED,raw_elo,192,0.9830887030419748,0.2050826904224876,,,,
POOLED,uniform,192,1.0986122886681096,0.2421875,,,,
