bin_lo,n,p_mean,obs_freq,gap
0.1,80,0.15681523400069536,0.125,0.03181523400069536
0.2,247,0.25492974125504103,0.22267206477732793,0.032257676477713104
0.3,68,0.35109263378433725,0.38235294117647056,0.03126030739213331
0.4,58,0.4501626054410573,0.5172413793103449,0.06707877386928757
0.5,49,0.5391970619146682,0.6122448979591837,0.07304783604451548
0.6,39,0.6401862153263814,0.6666666666666666,0.026480451340285205
